Date,Total Payments
1/1/20,
1/2/20,1.04
1/3/20,1.65
1/3/20,1.65
1/3/20,1.65
1/4/20,2.02
1/5/20,2.13
1/6/20,1.75
1/7/20,1.74
1/8/20,1.76
1/9/20,1.88
1/10/20,2.14
1/11/20,2.18
1/12/20,2.3
1/13/20,3.99
1/14/20,7.93
1/15/20,12.64
1/16/20,16.7
1/17/20,19.21
1/18/20,19.32
1/19/20,18.51
1/20/20,
1/21/20,16.18
1/22/20,16.23
1/23/20,17.52
1/24/20,18.83
1/25/20,20.2
1/26/20,21.47
1/27/20,22.53
1/28/20,23.66
1/29/20,24.99
1/30/20,26.9
1/31/20,29.19
2/1/20,31.2
2/2/20,33.52
2/3/20,34.67
2/4/20,34.58
2/5/20,33.58
2/6/20,32.22
2/7/20,30.18
2/8/20,28.14
2/9/20,26.59
2/10/20,25.35
2/11/20,24.88
2/12/20,24.75
2/13/20,25.31
2/14/20,25.65
2/15/20,26.24
2/16/20,27.88
2/17/20,
2/18/20,34.48
2/19/20,38.21
2/20/20,41.23
2/21/20,42.75
2/22/20,42.88
2/23/20,42.26
2/24/20,40.58
2/25/20,39.53
2/26/20,39.83
2/27/20,41.43
2/28/20,43.89
2/29/20,46.71
3/1/20,49.53
3/2/20,51.6
3/3/20,52.93
3/4/20,54.02
3/5/20,55.11
3/6/20,55.85
3/7/20,56.09
3/8/20,55.79
3/9/20,55.35
3/10/20,56.07
3/11/20,57.82
3/12/20,59.63
3/13/20,61.12
3/14/20,61.22
3/15/20,59.52
3/16/20,56.45
3/17/20,53.74
3/18/20,52.01
3/19/20,51.85
3/20/20,52.7
3/21/20,54.43
3/22/20,56.63
3/23/20,59.18
3/24/20,62.01
3/25/20,64.19
3/26/20,64.89
3/27/20,64.9
3/28/20,65.46
3/29/20,66.73
3/30/20,68.38
3/31/20,70.44
4/1/20,72.54
4/2/20,74.1
4/3/20,74.58
4/4/20,73.76
4/5/20,72.26
4/6/20,69.97
4/7/20,67.77
4/8/20,66.49
4/9/20,67.02
4/10/20,69.45
4/11/20,72.42
4/12/20,74.93
4/13/20,77.65
4/14/20,79.98
4/15/20,81.91
4/16/20,83.26
4/17/20,84.6
4/18/20,85.63
4/19/20,86.34
4/20/20,86.48
4/21/20,86.44
4/22/20,86.15
4/23/20,85.96
4/24/20,85.76
4/25/20,87.26
4/26/20,89.89
4/27/20,92.74
4/28/20,95.45
4/29/20,97.11
4/30/20,97.26
5/1/20,95.53
5/2/20,92.89
5/3/20,89.8
5/4/20,87.31
5/5/20,86.15
5/6/20,85.92
5/7/20,86.69
5/8/20,88.03
