Date,VIX,Gold
2004-11-18,12.98,44.38
2004-11-19,13.5,44.78
2004-11-22,12.97,44.95
2004-11-23,12.67,44.75
2004-11-24,12.72,45.05
2004-11-26,12.79,45.29
2004-11-29,13.3,45.4
2004-11-30,13.24,45.12
2004-12-01,12.97,45.38
2004-12-09,12.88,43.78
2004-12-13,12.54,43.91
2004-12-14,12.73,43.55
2004-12-15,12.35,43.99
2004-12-16,12.27,43.68
2004-12-20,11.83,44.34
2004-12-21,11.55,44.22
2004-12-22,11.45,44.02
2004-12-23,11.23,44.27
2004-12-27,12.14,44.48
2004-12-28,12.0,44.37
2004-12-29,11.62,43.66
2004-12-30,12.56,43.83
2005-01-03,14.08,43.02
2005-01-04,13.98,42.74
2005-01-05,14.09,42.67
2005-01-06,13.58,42.15
2005-01-10,13.23,41.95
2005-01-11,13.19,42.21
2005-01-12,12.56,42.6
2005-01-13,12.84,42.6
2005-01-18,12.47,42.32
2005-01-19,13.18,42.26
2005-01-20,13.83,42.25
2005-01-21,14.36,42.74
2005-01-24,14.65,42.77
2005-01-25,14.06,42.24
2005-01-26,13.44,42.69
2005-01-27,13.24,42.62
2005-01-28,13.24,42.69
2005-01-31,12.82,42.22
2005-02-01,12.03,42.1
2005-02-02,11.66,42.16
2005-02-03,11.79,41.68
2005-02-04,11.21,41.47
2005-02-07,11.73,41.27
2005-02-08,11.6,41.26
2005-02-09,12.0,41.31
2005-02-10,11.51,41.75
2005-02-11,11.43,42.08
2005-02-14,11.52,42.55
2005-02-15,11.27,42.58
2005-02-16,11.1,42.52
2005-02-17,11.77,42.73
2005-02-18,11.18,42.75
2005-02-22,13.14,43.57
2005-02-23,12.39,43.42
2005-02-24,11.57,43.33
2005-02-25,11.49,43.5
2005-02-28,12.08,43.52
2005-03-01,12.04,43.22
2005-03-02,12.5,43.25
2005-03-03,12.93,42.97
2005-03-04,11.94,43.38
2005-03-07,12.26,43.47
2005-03-08,12.4,44.03
2005-03-09,12.7,44.02
2005-03-10,12.49,44.2
2005-03-11,12.8,44.43
2005-03-14,12.39,44.03
2005-03-15,13.15,44.06
2005-03-16,13.49,44.31
2005-03-17,13.29,43.82
2005-03-18,13.14,43.89
2005-03-21,13.61,43.09
2005-03-22,14.27,42.65
2005-03-23,14.06,42.42
2005-03-24,13.42,42.39
2005-03-28,13.75,42.54
2005-03-29,14.49,42.56
2005-03-30,13.64,42.61
2005-03-31,14.02,42.82
2005-04-01,14.09,42.62
2005-04-04,14.11,42.4
2005-04-05,13.68,42.45
2005-04-06,13.15,42.63
2005-04-07,12.33,42.57
2005-04-08,12.62,42.69
2005-04-11,11.98,42.78
2005-04-12,11.3,42.84
2005-04-13,13.31,42.9
2005-04-14,14.53,42.31
2005-04-15,17.74,42.4
2005-04-18,16.56,42.69
2005-04-19,14.96,43.28
2005-04-20,16.92,43.4
2005-04-21,14.41,43.19
2005-04-22,15.38,43.39
2005-04-25,14.62,43.44
2005-04-26,14.91,43.64
2005-04-27,14.87,43.2
2005-04-28,16.86,43.0
2005-04-29,15.31,43.35
2005-05-02,15.12,42.88
2005-05-03,14.53,42.76
2005-05-04,13.85,42.9
2005-05-05,13.98,42.91
2005-05-06,14.05,42.52
2005-05-09,13.75,42.55
2005-05-10,14.91,42.64
2005-05-11,14.45,42.69
2005-05-12,16.12,42.16
2005-05-13,16.32,41.95
2005-05-16,15.68,41.88
2005-05-17,14.57,41.86
2005-05-18,13.63,42.05
2005-05-19,13.32,41.98
2005-05-20,13.14,41.65
2005-05-23,12.95,41.62
2005-05-24,12.69,41.73
2005-05-25,12.58,41.87
2005-05-26,12.24,41.69
2005-05-27,12.15,41.88
2005-05-31,13.29,41.65
2005-06-01,12.36,41.53
2005-06-02,11.84,42.1
2005-06-03,12.15,42.17
2005-06-06,12.28,42.48
2005-06-07,12.39,42.38
2005-06-08,12.7,42.34
2005-06-09,12.08,42.27
2005-06-10,11.96,42.62
2005-06-13,11.65,42.78
2005-06-14,11.79,42.6
2005-06-15,11.46,42.74
2005-06-16,11.15,43.46
2005-06-17,11.48,43.63
2005-06-20,11.47,43.66
2005-06-21,11.08,43.81
2005-06-22,11.05,43.72
2005-06-23,12.13,44.02
2005-06-24,12.18,43.9
2005-06-27,12.52,43.91
2005-06-28,11.58,43.45
2005-06-29,11.77,43.63
2005-06-30,12.04,43.44
2005-07-01,11.4,42.7
2005-07-05,11.68,42.28
2005-07-06,12.27,42.25
2005-07-07,12.49,42.36
2005-07-08,11.45,42.26
2005-07-11,11.28,42.54
2005-07-12,10.95,42.64
2005-07-13,10.84,42.35
2005-07-14,10.81,41.9
2005-07-15,10.33,42.05
2005-07-18,10.77,42.01
2005-07-19,10.45,41.89
2005-07-20,10.23,42.2
2005-07-21,10.97,42.46
2005-07-22,10.52,42.45
2005-07-25,11.1,42.51
2005-07-26,10.99,42.25
2005-07-27,10.36,42.44
2005-07-28,10.52,42.75
2005-07-29,11.57,42.82
2005-08-01,12.08,43.13
2005-08-02,11.75,43.14
2005-08-03,11.83,43.53
2005-08-04,12.52,43.68
2005-08-05,12.48,43.6
2005-08-08,13.21,43.35
2005-08-09,12.4,43.34
2005-08-10,12.38,43.65
2005-08-11,12.42,44.45
2005-08-12,12.74,44.49
2005-08-15,12.26,44.13
2005-08-16,13.52,44.55
2005-08-17,13.3,43.91
2005-08-18,13.42,43.83
2005-08-19,13.42,43.6
2005-08-22,13.42,43.7
2005-08-23,13.34,43.76
2005-08-24,14.17,43.59
2005-08-25,13.73,43.73
2005-08-26,13.72,43.61
2005-08-29,13.52,43.57
2005-08-30,13.65,43.01
2005-08-31,12.6,43.4
2005-09-01,13.15,44.22
2005-09-02,13.57,44.25
2005-09-06,12.93,44.27
2005-09-07,12.52,44.33
2005-09-08,12.93,44.6
2005-09-09,11.98,44.84
2005-09-12,11.65,44.89
2005-09-13,12.39,44.56
2005-09-14,12.91,44.96
2005-09-15,12.49,45.42
2005-09-16,11.22,45.82
2005-09-19,12.14,46.25
2005-09-20,12.64,46.23
2005-09-21,13.79,47.06
2005-09-22,13.33,46.36
2005-09-23,12.96,46.28
2005-09-26,13.04,46.57
2005-09-27,12.76,46.25
2005-09-28,12.63,46.8
2005-09-29,12.24,47.1
2005-09-30,11.92,46.7
2005-10-03,12.46,46.42
2005-10-04,13.2,46.45
2005-10-05,14.55,46.36
2005-10-06,14.96,47.21
2005-10-07,14.59,47.36
2005-10-10,15.55,47.37
2005-10-11,15.63,47.39
2005-10-12,16.22,46.85
2005-10-13,16.47,47.02
2005-10-14,14.87,46.8
2005-10-17,14.67,47.26
2005-10-18,15.33,47.0
2005-10-19,13.5,46.34
2005-10-20,16.11,45.98
2005-10-21,16.13,46.52
2005-10-24,14.74,46.39
2005-10-25,14.53,47.06
2005-10-26,14.59,46.93
2005-10-27,16.02,47.18
2005-10-28,14.25,47.22
2005-10-31,15.32,46.4
2005-11-01,14.85,45.73
2005-11-02,13.48,46.13
2005-11-03,13.0,45.96
2005-11-04,13.17,45.51
2005-11-07,13.1,45.77
2005-11-08,13.08,45.91
2005-11-09,12.8,46.56
2005-11-10,11.9,46.48
2005-11-11,11.63,46.8
2005-11-14,12.18,46.62
2005-11-15,12.23,46.66
2005-11-16,12.26,47.78
2005-11-17,11.25,48.48
2005-11-18,11.12,48.46
2005-11-21,10.82,48.99
2005-11-22,10.6,49.32
2005-11-23,10.96,49.15
2005-11-25,10.88,49.42
2005-11-28,11.84,49.74
2005-11-29,11.89,49.8
2005-11-30,12.06,49.1
2005-12-01,11.24,50.17
2005-12-02,11.01,50.32
2005-12-05,11.6,50.78
2005-12-06,11.52,50.89
2005-12-07,12.18,51.32
2005-12-08,12.21,51.9
2005-12-09,11.69,52.4
2005-12-12,11.47,52.56
2005-12-13,11.11,51.65
2005-12-14,10.48,50.35
2005-12-15,10.73,50.24
2005-12-16,10.68,50.09
2005-12-19,11.38,50.22
2005-12-20,11.19,49.04
2005-12-21,10.81,49.37
2005-12-22,10.29,50.14
2005-12-23,10.27,50.12
2005-12-27,11.57,50.64
2005-12-28,11.35,51.47
2005-12-29,11.61,51.47
2005-12-30,12.07,51.58
2006-01-03,11.14,53.12
2006-01-04,11.37,53.3
2006-01-05,11.31,52.34
2006-01-06,11.0,53.72
2006-01-09,11.13,54.6
2006-01-10,10.86,54.06
2006-01-11,10.94,54.53
2006-01-12,11.2,54.43
2006-01-13,11.23,55.44
2006-01-17,11.91,55.26
2006-01-18,12.25,54.07
2006-01-19,11.98,55.59
2006-01-20,14.56,55.2
2006-01-23,13.93,55.77
2006-01-24,13.31,55.73
2006-01-25,12.87,56.14
2006-01-26,12.42,55.88
2006-01-27,11.97,55.63
2006-01-30,12.39,56.68
2006-01-31,12.95,56.7
2006-02-01,12.36,56.7
2006-02-02,13.23,56.98
2006-02-03,12.96,56.5
2006-02-06,13.04,56.72
2006-02-07,13.59,54.6
2006-02-08,12.83,54.83
2006-02-09,13.12,56.18
2006-02-10,12.87,54.79
2006-02-13,13.35,53.72
2006-02-14,12.25,54.49
2006-02-15,12.31,53.76
2006-02-16,11.48,54.52
2006-02-17,12.01,54.96
2006-02-21,12.41,55.12
2006-02-22,11.88,55.34
2006-02-23,11.87,54.64
2006-02-24,11.46,55.64
2006-02-27,11.59,55.22
2006-02-28,12.34,56.07
2006-03-01,11.54,56.1
2006-03-02,11.72,56.74
2006-03-03,11.96,56.28
2006-03-06,12.74,55.23
2006-03-07,12.66,54.95
2006-03-08,12.32,53.97
2006-03-09,12.68,54.24
2006-03-10,11.85,53.83
2006-03-13,11.37,54.31
2006-03-14,10.74,54.87
2006-03-15,11.35,55.12
2006-03-16,11.98,55.34
2006-03-17,12.12,55.12
2006-03-20,11.79,55.17
2006-03-21,11.62,54.83
2006-03-22,11.21,54.75
2006-03-23,11.17,54.7
2006-03-24,11.19,55.71
2006-03-27,11.46,56.39
2006-03-28,11.58,56.06
2006-03-29,10.95,57.07
2006-03-30,11.57,58.6
2006-03-31,11.39,58.1
2006-04-03,11.57,58.47
2006-04-04,11.14,58.33
2006-04-05,11.13,58.66
2006-04-06,11.45,59.28
2006-04-07,12.26,58.59
2006-04-10,12.19,59.6
2006-04-11,13.0,59.01
2006-04-12,12.76,59.43
2006-04-13,12.38,59.5
2006-04-17,12.58,61.09
2006-04-18,11.4,61.85
2006-04-19,11.32,63.75
2006-04-20,11.64,60.96
2006-04-21,11.59,63.2
2006-04-24,11.75,61.65
2006-04-25,11.75,62.78
2006-04-26,11.76,63.65
2006-04-27,11.84,62.96
2006-04-28,11.59,65.09
2006-05-01,12.54,65.16
2006-05-02,11.99,66.55
2006-05-03,11.99,66.46
2006-05-04,11.86,67.48
2006-05-05,11.62,67.99
2006-05-08,12.0,67.56
2006-05-09,11.99,69.68
2006-05-10,11.78,70.38
2006-05-11,12.49,71.03
2006-05-12,14.19,71.12
2006-05-15,13.57,67.41
2006-05-16,13.35,68.61
2006-05-17,16.26,68.15
2006-05-18,16.99,67.46
2006-05-19,17.18,65.58
2006-05-22,17.72,65.3
2006-05-23,18.26,66.38
2006-05-24,17.36,64.06
2006-05-25,15.5,64.7
2006-05-26,14.26,65.1
2006-05-30,18.66,65.11
2006-05-31,16.44,64.23
2006-06-01,14.52,62.56
2006-06-02,14.32,63.5
2006-06-05,16.65,63.29
2006-06-06,17.34,62.55
2006-06-07,17.8,62.28
2006-06-08,18.35,60.91
2006-06-09,18.12,60.45
2006-06-12,20.96,60.03
2006-06-13,23.81,55.92
2006-06-14,21.46,55.62
2006-06-15,15.9,57.32
2006-06-16,17.25,57.68
2006-06-19,17.83,56.36
2006-06-20,16.69,57.3
